  TARGET                RA         DEC       MJD  FILTER  APER       FLUX  FLUXERR         MAG   MAGERR  MAGSYS       ZP      SKY SKYERR  IMAGE
S4                177.39780    22.39518  57015.825   F160W   inf     0.3022   0.2431     27.2455   0.8733     AB   25.9462   0.0025 0.0115  refsdal_f160w_e15-e00_sub_masked.fits
S4                177.39780    22.39518  57016.791   F160W   inf     0.6056   0.4934     26.4907   0.8845     AB   25.9462   0.0095 0.0259  refsdal_f160w_e16-e00_sub_masked.fits
S4                177.39780    22.39518  57017.815   F160W   inf     0.4164   0.2557     26.8975   0.6666     AB   25.9462   0.0020 0.0114  refsdal_f160w_e17-e00_sub_masked.fits
S4                177.39780    22.39518  57019.179   F160W   inf     0.6651   0.2780     26.3891   0.4538     AB   25.9462   0.0105 0.0223  refsdal_f160w_e18-e00_sub_masked.fits
S4                177.39780    22.39518  57021.196   F160W   inf     0.4806   0.2493     26.7418   0.5632     AB   25.9462   0.0025 0.0121  refsdal_f160w_e19-e00_sub_masked.fits
S4                177.39780    22.39518  57023.783   F160W   inf     0.4948   0.2399     26.7101   0.5264     AB   25.9462   0.0019 0.0129  refsdal_f160w_e20-e00_sub_masked.fits
S4                177.39780    22.39518  57026.038   F160W   inf     0.5328   0.2418     26.6298   0.4927     AB   25.9462   0.0019 0.0115  refsdal_f160w_e21-e00_sub_masked.fits
S4                177.39780    22.39518  57026.502   F160W   inf     0.5704   0.1942     26.5558   0.3697     AB   25.9462   0.0016 0.0123  refsdal_f160w_e22-e00_sub_masked.fits
S4                177.39780    22.39518  57027.829   F160W   inf     0.5658   0.2906     26.5646   0.5576     AB   25.9462   0.0020 0.0132  refsdal_f160w_e23-e00_sub_masked.fits
S4                177.39780    22.39518  57021.196   F160W   inf     0.4770   0.2874     26.7500   0.6543     AB   25.9462   0.0019 0.0122  refsdal_f160w_e24-e00_sub_masked.fits
S4                177.39780    22.39518  57033.961   F160W   inf     0.6030   0.1703     26.4953   0.3066     AB   25.9462  -0.0013 0.0155  refsdal_f160w_e25-e00_sub_masked.fits
S4                177.39780    22.39518  57036.615   F160W   inf     0.9341   0.1207     26.0203   0.1403     AB   25.9462  -0.0013 0.0154  refsdal_f160w_e26-e00_sub_masked.fits
S4                177.39780    22.39518  57044.705   F160W   inf     0.7067   0.1860     26.3231   0.2857     AB   25.9462  -0.0023 0.0157  refsdal_f160w_e27-e00_sub_masked.fits
S4                177.39780    22.39518  57049.213   F160W   inf     0.8868   0.1330     26.0767   0.1629     AB   25.9462  -0.0020 0.0133  refsdal_f160w_e28-e00_sub_masked.fits
S4                177.39780    22.39518  57062.398   F160W   inf     1.0487   0.1675     25.8946   0.1734     AB   25.9462   0.0021 0.0161  refsdal_f160w_e29-e00_sub_masked.fits
S4                177.39780    22.39518  57076.407   F160W   inf     0.9902   0.2170     25.9570   0.2380     AB   25.9462   0.0029 0.0177  refsdal_f160w_e30-e00_sub_masked.fits
S4                177.39780    22.39518  57090.419   F160W   inf     1.0557   0.1949     25.8874   0.2004     AB   25.9462   0.0013 0.0146  refsdal_f160w_e31-e00_sub_masked.fits
S4                177.39780    22.39518  57104.308   F160W   inf     1.2913   0.1798     25.6686   0.1512     AB   25.9462  -0.0029 0.0159  refsdal_f160w_e32-e00_sub_masked.fits
S4                177.39780    22.39518  57118.228   F160W   inf     1.1518   0.2449     25.7928   0.2308     AB   25.9462  -0.0061 0.0175  refsdal_f160w_e33-e00_sub_masked.fits
S4                177.39780    22.39518  57132.107   F160W   inf     1.3760   0.2824     25.5997   0.2228     AB   25.9462  -0.0024 0.0207  refsdal_f160w_e34-e00_sub_masked.fits
S4                177.39780    22.39518  57076.407   F160W   inf     0.9907   0.2249     25.9564   0.2464     AB   25.9462   0.0026 0.0167  refsdal_f160w_e35-e00_sub_masked.fits
S4                177.39780    22.39518  57090.419   F160W   inf     1.0534   0.2108     25.8898   0.2172     AB   25.9462   0.0017 0.0168  refsdal_f160w_e36-e00_sub_masked.fits
S4                177.39780    22.39518  57104.308   F160W   inf     1.3369   0.1407     25.6309   0.1142     AB   25.9462  -0.0036 0.0183  refsdal_f160w_e37-e00_sub_masked.fits
S4                177.39780    22.39518  57149.076   F160W   inf     1.2083   0.2055     25.7408   0.1847     AB   25.9462  -0.0015 0.0201  refsdal_f160w_e38-e00_sub_masked.fits
